IV_Name,IV_Value,Trial,Prob_Cop_After_Cop,Prob_Cop_After_Def
miscommunicationRate,0.0,0,0.14645000000000002,0.0270648
miscommunicationRate,0.0,1,0.20416050000000002,0.07665594999999999
miscommunicationRate,0.0,2,0.6730416000000001,0.11764029999999999
miscommunicationRate,0.0,3,0.18147185000000002,0.12431174999999998
miscommunicationRate,0.0,4,0.027291149999999997,0.0194804
miscommunicationRate,0.0,5,0.3433088,0.04874065
miscommunicationRate,0.0,6,0.15612174999999998,0.08248475
miscommunicationRate,0.0,7,0.12466094999999999,0.16282385
miscommunicationRate,0.0,8,0.07104469999999999,0.14312030000000003
miscommunicationRate,0.0,9,0.08543730000000001,0.02765495
miscommunicationRate,0.0,10,0.24456185000000003,0.2016549
miscommunicationRate,0.0,11,0.16282905000000003,0.1121375
miscommunicationRate,0.0,12,0.4581004,0.05664520000000001
miscommunicationRate,0.0,13,0.27921584999999993,0.08134945
miscommunicationRate,0.0,14,0.36518475,0.03468955
miscommunicationRate,0.001,0,0.9179595,0.25339345
miscommunicationRate,0.001,1,0.14855355,0.023507999999999998
miscommunicationRate,0.001,2,0.01987535,0.015761550000000003
miscommunicationRate,0.001,3,0.02226035,0.0729968
miscommunicationRate,0.001,4,0.90682765,0.5370802
miscommunicationRate,0.001,5,0.34712624999999997,0.04352579999999999
miscommunicationRate,0.001,6,0.06287390000000001,0.0717612
miscommunicationRate,0.001,7,0.08747145,0.02021455
miscommunicationRate,0.001,8,0.08577625,0.08377625
miscommunicationRate,0.001,9,0.16987085,0.03404935
miscommunicationRate,0.001,10,0.027773350000000002,0.18248864999999997
miscommunicationRate,0.001,11,0.13779115,0.0355557
miscommunicationRate,0.001,12,0.1558334,0.026296099999999996
miscommunicationRate,0.001,13,0.24618204999999999,0.026486149999999997
miscommunicationRate,0.001,14,0.025192950000000002,0.020419200000000002
miscommunicationRate,0.002,0,0.037695700000000006,0.022506349999999998
miscommunicationRate,0.002,1,0.7323031999999998,0.19038804999999998
miscommunicationRate,0.002,2,0.3673673,0.0517802
miscommunicationRate,0.002,3,0.18782695,0.035256949999999995
miscommunicationRate,0.002,4,0.18262455000000002,0.07897059999999999
miscommunicationRate,0.002,5,0.0286461,0.31320215
miscommunicationRate,0.002,6,0.22102575000000005,0.13077324999999998
miscommunicationRate,0.002,7,0.0945501,0.28565555000000004
miscommunicationRate,0.002,8,0.02752035,0.0707597
miscommunicationRate,0.002,9,0.07388525,0.03899875
miscommunicationRate,0.002,10,0.41699439999999993,0.16592364999999998
miscommunicationRate,0.002,11,0.26674239999999994,0.1596455
miscommunicationRate,0.002,12,0.1940063,0.2095476
miscommunicationRate,0.002,13,0.38779085,0.10001985
miscommunicationRate,0.002,14,0.12282790000000002,0.07094800000000001
miscommunicationRate,0.003,0,0.10003645000000001,0.0381377
miscommunicationRate,0.003,1,0.6536567999999999,0.12702200000000002
miscommunicationRate,0.003,2,0.1460701,0.048856949999999996
miscommunicationRate,0.003,3,0.13598800000000003,0.055692900000000004
