IV_Name,IV_Value,Trial,Prob_Cop_After_Cop,Prob_Cop_After_Def
mutationStddev,0.0,0,0.15000165000000001,0.17684735
mutationStddev,0.0,1,0.2828550999999999,0.017349749999999997
mutationStddev,0.0,2,0.07737754999999998,0.14796905
mutationStddev,0.0,3,0.18799025000000005,0.00927655
mutationStddev,0.0,4,0.033048749999999995,0.03585404999999999
mutationStddev,0.0,5,0.050925700000000004,0.22123210000000001
mutationStddev,0.0,6,0.00399305,0.12245889999999997
mutationStddev,0.0,7,0.12446785000000005,0.41558140000000005
mutationStddev,0.0,8,0.8103750000000002,0.08301194999999999
mutationStddev,0.0,9,0.76012415,0.1084977
mutationStddev,0.0,10,0.03435769999999999,0.017284150000000005
mutationStddev,0.0,11,0.10447445,0.01685055
mutationStddev,0.0,12,0.10085255,0.056424449999999994
mutationStddev,0.0,13,0.1323199,0.14830219999999997
mutationStddev,0.0,14,0.21754990000000002,0.17829480000000003
mutationStddev,0.001,0,0.322138,0.09532345
mutationStddev,0.001,1,0.3403591,0.03784465
mutationStddev,0.001,2,0.58936415,0.15348874999999998
mutationStddev,0.001,3,0.24816995000000003,0.1303189
mutationStddev,0.001,4,0.9005713500000001,0.16026780000000002
mutationStddev,0.001,5,0.0868548,0.1336406
mutationStddev,0.001,6,0.3990596,0.1199981
mutationStddev,0.001,7,0.5407381,0.06465815
mutationStddev,0.001,8,0.9646416500000001,0.1161103
mutationStddev,0.001,9,0.20540964999999994,0.10659564999999997
mutationStddev,0.001,10,0.0239001,0.5731773
mutationStddev,0.001,11,0.21916585000000005,0.0226954
mutationStddev,0.001,12,0.15671414999999997,0.08134854999999999
mutationStddev,0.001,13,0.00644255,0.12317764999999999
mutationStddev,0.001,14,0.32684219999999997,0.07341835000000001
mutationStddev,0.002,0,0.029742400000000002,0.1355541
mutationStddev,0.002,1,0.4546171500000001,0.03366365
mutationStddev,0.002,2,0.24974290000000007,0.0392816
mutationStddev,0.002,3,0.10504575000000001,0.0140231
mutationStddev,0.002,4,0.29927055,0.08767169999999999
mutationStddev,0.002,5,0.9603557,0.1052592
mutationStddev,0.002,6,0.81698275,0.09985410000000002
mutationStddev,0.002,7,0.37412775000000004,0.0478735
mutationStddev,0.002,8,0.9849689999999999,0.11518725
mutationStddev,0.002,9,0.26645664999999996,0.0453784
mutationStddev,0.002,10,0.9162920499999998,0.1065013
mutationStddev,0.002,11,0.10737915,0.13146370000000002
mutationStddev,0.002,12,0.2515504,0.08639425
mutationStddev,0.002,13,0.41857665,0.08547580000000002
mutationStddev,0.002,14,0.9423618499999998,0.1453121
mutationStddev,0.003,0,0.9762346000000001,0.20334729999999998
mutationStddev,0.003,1,0.72045055,0.34900049999999994
mutationStddev,0.003,2,0.10085725000000001,0.026946100000000008
mutationStddev,0.003,3,0.20693740000000002,0.0435701
mutationStddev,0.003,4,0.1164531,0.028274100000000003
mutationStddev,0.003,5,0.026934599999999996,0.10771235000000001
mutationStddev,0.003,6,0.27047455,0.02138945
mutationStddev,0.003,7,0.0394805,0.0629847
mutationStddev,0.003,8,0.020616649999999997,0.20075000000000004
mutationStddev,0.003,9,0.08297605000000002,0.04354795
mutationStddev,0.003,10,0.8743406,0.07948395
mutationStddev,0.003,11,0.10491204999999999,0.1274885
mutationStddev,0.003,12,0.34821435,0.25537160000000003
mutationStddev,0.003,13,0.12179,0.04924995
mutationStddev,0.003,14,0.13562634999999995,0.01925525
mutationStddev,0.004,0,0.20788545000000003,0.0405377
mutationStddev,0.004,1,0.5344325999999999,0.06600829999999999
mutationStddev,0.004,2,0.21095099999999997,0.10440295
mutationStddev,0.004,3,0.23640540000000004,0.023796750000000002
mutationStddev,0.004,4,0.037642249999999995,0.01895115
mutationStddev,0.004,5,0.30554215,0.026600350000000005
mutationStddev,0.004,6,0.22719954999999997,0.07037495
mutationStddev,0.004,7,0.013447800000000001,0.13100740000000005
mutationStddev,0.004,8,0.06900629999999999,0.17411835
mutationStddev,0.004,9,0.32187435,0.03839225
mutationStddev,0.004,10,0.22248105,0.028810049999999997
mutationStddev,0.004,11,0.03576105,0.22373025000000002
mutationStddev,0.004,12,0.24539819999999998,0.0224789
mutationStddev,0.004,13,0.05604695,0.23835830000000002
mutationStddev,0.004,14,0.58540535,0.10352365
mutationStddev,0.005,0,0.0995076,0.11976455
mutationStddev,0.005,1,0.4111841,0.07448845
mutationStddev,0.005,2,0.34875175,0.06664925000000001
mutationStddev,0.005,3,0.12857539999999998,0.15579505000000002
mutationStddev,0.005,4,0.314798,0.12829415000000002
mutationStddev,0.005,5,0.26393174999999996,0.0972839
mutationStddev,0.005,6,0.26023505,0.0861131
mutationStddev,0.005,7,0.46589610000000004,0.21532650000000003
mutationStddev,0.005,8,0.20768344999999994,0.02509445
mutationStddev,0.005,9,0.10771495,0.06640775
mutationStddev,0.005,10,0.0627894,0.0152331
mutationStddev,0.005,11,0.040650599999999995,0.045155900000000006
mutationStddev,0.005,12,0.48035045,0.16197425000000001
mutationStddev,0.005,13,0.0687562,0.1719376
mutationStddev,0.005,14,0.05771620000000001,0.08223625
mutationStddev,0.006,0,0.1430712,0.07517775
mutationStddev,0.006,1,0.20720419999999998,0.026454550000000004
mutationStddev,0.006,2,0.4323894999999999,0.1471498
mutationStddev,0.006,3,0.81618415,0.1250171
mutationStddev,0.006,4,0.16907910000000004,0.030805750000000003
mutationStddev,0.006,5,0.06633484999999999,0.09584125
mutationStddev,0.006,6,0.28466224999999995,0.08562335000000001
mutationStddev,0.006,7,0.17477974999999998,0.04091615
mutationStddev,0.006,8,0.2964061,0.10467410000000002
mutationStddev,0.006,9,0.06049764999999999,0.1952936
mutationStddev,0.006,10,0.19352299999999997,0.0813685
mutationStddev,0.006,11,0.26742435000000003,0.1394182
mutationStddev,0.006,12,0.69368195,0.08878185000000001
mutationStddev,0.006,13,0.44322375,0.1658979
mutationStddev,0.006,14,0.44934280000000004,0.0594088
mutationStddev,0.007,0,0.9507141500000001,0.20004909999999998
mutationStddev,0.007,1,0.59423695,0.1077928
mutationStddev,0.007,2,0.23798455000000004,0.048427300000000006
mutationStddev,0.007,3,0.2154575,0.04759395000000001
mutationStddev,0.007,4,0.2931257,0.155424
mutationStddev,0.007,5,0.0974378,0.12903185
mutationStddev,0.007,6,0.101639,0.06343195
mutationStddev,0.007,7,0.23473090000000002,0.07873759999999999
mutationStddev,0.007,8,0.9299840500000001,0.14067535
mutationStddev,0.007,9,0.052433150000000005,0.042768
mutationStddev,0.007,10,0.0973428,0.0754204
mutationStddev,0.007,11,0.24238995000000002,0.0833055
mutationStddev,0.007,12,0.30266439999999994,0.10435449999999999
mutationStddev,0.007,13,0.04152689999999999,0.0346015
mutationStddev,0.007,14,0.13873725,0.07207355
mutationStddev,0.008,0,0.047893299999999986,0.056230900000000014
mutationStddev,0.008,1,0.0504617,0.06922825000000002
mutationStddev,0.008,2,0.0443437,0.119835
mutationStddev,0.008,3,0.3022759,0.04408885
mutationStddev,0.008,4,0.1680605,0.08604645
mutationStddev,0.008,5,0.08894359999999998,0.06357199999999999
mutationStddev,0.008,6,0.044914800000000005,0.11077104999999998
mutationStddev,0.008,7,0.06926435,0.26192614999999997
mutationStddev,0.008,8,0.10916089999999998,0.03829895
mutationStddev,0.008,9,0.36110314999999993,0.034746200000000005
mutationStddev,0.008,10,0.1496067,0.07466940000000001
mutationStddev,0.008,11,0.06958465,0.0355051
mutationStddev,0.008,12,0.26763889999999996,0.030588950000000004
mutationStddev,0.008,13,0.11892575000000001,0.32316464999999994
mutationStddev,0.008,14,0.8800445,0.1423079
mutationStddev,0.009000000000000001,0,0.06468375,0.29395744999999995
mutationStddev,0.009000000000000001,1,0.09494459999999999,0.0638726
mutationStddev,0.009000000000000001,2,0.1636054,0.1110395
mutationStddev,0.009000000000000001,3,0.9677020500000001,0.04002299999999999
mutationStddev,0.009000000000000001,4,0.15386605000000003,0.05631535
mutationStddev,0.009000000000000001,5,0.09007385,0.02690330000000001
mutationStddev,0.009000000000000001,6,0.9296899999999999,0.13408065
mutationStddev,0.009000000000000001,7,0.2932667,0.06562929999999999
mutationStddev,0.009000000000000001,8,0.11338385000000002,0.06222654999999999
mutationStddev,0.009000000000000001,9,0.06518845000000001,0.020061100000000002
mutationStddev,0.009000000000000001,10,0.19646075,0.1592499
mutationStddev,0.009000000000000001,11,0.9328460500000002,0.23201679999999997
mutationStddev,0.009000000000000001,12,0.2679709,0.10428799999999998
mutationStddev,0.009000000000000001,13,0.28057,0.10175959999999999
mutationStddev,0.009000000000000001,14,0.09977425000000001,0.12459605
mutationStddev,0.01,0,0.29719305,0.061902
mutationStddev,0.01,1,0.20163859999999997,0.05663735000000001
mutationStddev,0.01,2,0.31104515,0.0900494
mutationStddev,0.01,3,0.29708290000000004,0.13286895
mutationStddev,0.01,4,0.362817,0.02944175
mutationStddev,0.01,5,0.12480809999999998,0.05410814999999999
mutationStddev,0.01,6,0.23432024999999998,0.05457455
mutationStddev,0.01,7,0.34284980000000004,0.06263295
mutationStddev,0.01,8,0.02739725,0.0355028
mutationStddev,0.01,9,0.0440469,0.04205295
mutationStddev,0.01,10,0.0457348,0.0386505
mutationStddev,0.01,11,0.06759125,0.033368249999999995
