IV_Name,IV_Value,Trial,Prob_Cop_After_Cop,Prob_Cop_After_Def
miscommunicationRate,0.0,0,0.21935565,0.05553600000000001
miscommunicationRate,0.0,1,0.5828227500000001,0.23656285000000005
miscommunicationRate,0.0,2,0.060863999999999994,0.10141175
miscommunicationRate,0.0,3,0.37458685,0.1544211
miscommunicationRate,0.0,4,0.14072010000000001,0.0879217
miscommunicationRate,0.001,0,0.39569025,0.06980795000000001
miscommunicationRate,0.001,1,0.827726,0.23182694999999995
miscommunicationRate,0.001,2,0.051115049999999995,0.06689930000000001
miscommunicationRate,0.001,3,0.2724783999999999,0.1374441
miscommunicationRate,0.001,4,0.37441759999999996,0.07232945
miscommunicationRate,0.002,0,0.8264570000000001,0.1697279
miscommunicationRate,0.002,1,0.38651844999999996,0.21727494999999997
miscommunicationRate,0.002,2,0.0332216,0.08393644999999998
miscommunicationRate,0.002,3,0.55624915,0.11104695
miscommunicationRate,0.002,4,0.0328879,0.0298626
miscommunicationRate,0.003,0,0.05154185,0.19271595000000002
miscommunicationRate,0.003,1,0.3277685,0.050721699999999995
miscommunicationRate,0.003,2,0.26152355,0.08412244999999999
miscommunicationRate,0.003,3,0.16422695,0.02533295
miscommunicationRate,0.003,4,0.04521915,0.11351215
miscommunicationRate,0.004,0,0.1007742,0.019175900000000003
miscommunicationRate,0.004,1,0.22547240000000005,0.016256749999999993
miscommunicationRate,0.004,2,0.28758695,0.04594155
miscommunicationRate,0.004,3,0.0889712,0.12180225000000003
miscommunicationRate,0.004,4,0.33266024999999994,0.19567015
miscommunicationRate,0.005,0,0.026872199999999995,0.0478492
miscommunicationRate,0.005,1,0.10210274999999999,0.0318577
miscommunicationRate,0.005,2,0.0482774,0.030596
miscommunicationRate,0.005,3,0.3927115,0.053502150000000005
miscommunicationRate,0.005,4,0.5406465,0.13120245
miscommunicationRate,0.006,0,0.11205770000000001,0.0402972
miscommunicationRate,0.006,1,0.1174342,0.052271899999999996
miscommunicationRate,0.006,2,0.72915295,0.17271220000000004
miscommunicationRate,0.006,3,0.03448325000000001,0.04231455
miscommunicationRate,0.006,4,0.032336300000000005,0.07415165
miscommunicationRate,0.007,0,0.25960615000000004,0.04238735
miscommunicationRate,0.007,1,0.0348563,0.14465315000000004
miscommunicationRate,0.007,2,0.10337145,0.13773025
miscommunicationRate,0.007,3,0.062112999999999995,0.043534050000000005
miscommunicationRate,0.007,4,0.09288505,0.03909265
miscommunicationRate,0.008,0,0.2744787,0.15839295
miscommunicationRate,0.008,1,0.0974812,0.11269225000000001
miscommunicationRate,0.008,2,0.1636813,0.03827495000000001
miscommunicationRate,0.008,3,0.158477,0.21358305
miscommunicationRate,0.008,4,0.30842255,0.0464654
miscommunicationRate,0.009000000000000001,0,0.9114542,0.054895549999999994
miscommunicationRate,0.009000000000000001,1,0.07377595,0.10962229999999999
miscommunicationRate,0.009000000000000001,2,0.4442722,0.06971385
miscommunicationRate,0.009000000000000001,3,0.11601120000000001,0.20908125000000002
miscommunicationRate,0.009000000000000001,4,0.08501095,0.023758400000000002
miscommunicationRate,0.01,0,0.092968,0.03309940000000001
miscommunicationRate,0.01,1,0.12763805,0.0820809
miscommunicationRate,0.01,2,0.048037449999999995,0.06126560000000001
miscommunicationRate,0.01,3,0.9037559499999999,0.18876895
miscommunicationRate,0.01,4,0.18183335,0.16907565000000002
miscommunicationRate,0.011,0,0.0793452,0.14830720000000003
miscommunicationRate,0.011,1,0.5052828,0.14058430000000002
miscommunicationRate,0.011,2,0.30299135000000005,0.16370279999999998
miscommunicationRate,0.011,3,0.1246478,0.14576215
miscommunicationRate,0.011,4,0.051923949999999996,0.13729914999999998
miscommunicationRate,0.012,0,0.2058599,0.06091735
miscommunicationRate,0.012,1,0.06683510000000001,0.30745385
miscommunicationRate,0.012,2,0.22003129999999999,0.0473205
miscommunicationRate,0.012,3,0.7181597999999999,0.11975525000000001
miscommunicationRate,0.012,4,0.8180669,0.21332125000000005
miscommunicationRate,0.013000000000000001,0,0.0175218,0.0260054
miscommunicationRate,0.013000000000000001,1,0.15304735,0.025836649999999996
miscommunicationRate,0.013000000000000001,2,0.90950625,0.12088174999999998
miscommunicationRate,0.013000000000000001,3,0.9663054999999998,0.17557965
miscommunicationRate,0.013000000000000001,4,0.16466229999999998,0.04139815
miscommunicationRate,0.014,0,0.3737470500000001,0.0450059
miscommunicationRate,0.014,1,0.7684879,0.0477873
miscommunicationRate,0.014,2,0.13836834999999997,0.0411841
miscommunicationRate,0.014,3,0.25175485000000003,0.05268845
miscommunicationRate,0.014,4,0.19762285,0.17186095
miscommunicationRate,0.015,0,0.2004064,0.0782724
miscommunicationRate,0.015,1,0.10985635,0.0876295
miscommunicationRate,0.015,2,0.0664527,0.024090700000000003
miscommunicationRate,0.015,3,0.09095005,0.1603966
miscommunicationRate,0.015,4,0.0414535,0.02847465
miscommunicationRate,0.016,0,0.14551304999999998,0.0370001
miscommunicationRate,0.016,1,0.14432774999999998,0.04912275000000001
miscommunicationRate,0.016,2,0.40946315,0.10877320000000001
miscommunicationRate,0.016,3,0.24749,0.1281026
miscommunicationRate,0.016,4,0.26434715,0.1284705
miscommunicationRate,0.017,0,0.0757723,0.04077984999999999
miscommunicationRate,0.017,1,0.9798232499999999,0.1467018
miscommunicationRate,0.017,2,0.12440674999999998,0.028522200000000004
miscommunicationRate,0.017,3,0.30739584999999997,0.0499483
miscommunicationRate,0.017,4,0.1947026,0.040546149999999996
miscommunicationRate,0.018000000000000002,0,0.09697544999999999,0.0389043
miscommunicationRate,0.018000000000000002,1,0.10843905000000001,0.18423265000000003
miscommunicationRate,0.018000000000000002,2,0.29491525,0.17075205
miscommunicationRate,0.018000000000000002,3,0.07075215,0.0786033
miscommunicationRate,0.018000000000000002,4,0.46065265,0.048476250000000005
miscommunicationRate,0.019,0,0.78568715,0.12164930000000003
miscommunicationRate,0.019,1,0.47596175,0.16766920000000002
miscommunicationRate,0.019,2,0.36490354999999997,0.051014000000000004
miscommunicationRate,0.019,3,0.03821365,0.15942610000000002
miscommunicationRate,0.019,4,0.37765210000000005,0.1179136
miscommunicationRate,0.02,0,0.17119429999999997,0.0895489
miscommunicationRate,0.02,1,0.05682485,0.14049194999999998
miscommunicationRate,0.02,2,0.22994185000000003,0.19403339999999997
miscommunicationRate,0.02,3,0.0974742,0.11147895000000001
miscommunicationRate,0.02,4,0.20137035,0.0396948
miscommunicationRate,0.021,0,0.2841874999999999,0.046371449999999995
miscommunicationRate,0.021,1,0.023888000000000003,0.2731321
miscommunicationRate,0.021,2,0.7094392499999999,0.07009355
miscommunicationRate,0.021,3,0.11970214999999998,0.12783994999999998
miscommunicationRate,0.021,4,0.14611444999999998,0.17374535000000002
miscommunicationRate,0.022,0,0.12851749999999998,0.12169540000000001
miscommunicationRate,0.022,1,0.46642434999999993,0.054982949999999996
miscommunicationRate,0.022,2,0.3408067,0.10152655
miscommunicationRate,0.022,3,0.18690944999999998,0.03471570000000001
miscommunicationRate,0.022,4,0.08278115,0.097527
miscommunicationRate,0.023,0,0.15569514999999998,0.16558199999999998
miscommunicationRate,0.023,1,0.138318,0.013378300000000001
miscommunicationRate,0.023,2,0.9451769999999999,0.3497759
miscommunicationRate,0.023,3,0.56786655,0.0668907
miscommunicationRate,0.023,4,0.24377515,0.0525806
miscommunicationRate,0.024,0,0.08440715000000001,0.026384150000000002
miscommunicationRate,0.024,1,0.23762215000000003,0.09505975
miscommunicationRate,0.024,2,0.22690354999999998,0.0717962
miscommunicationRate,0.024,3,0.07137394999999999,0.3625382
miscommunicationRate,0.024,4,0.1087117,0.29346905
miscommunicationRate,0.025,0,0.1630408,0.01725625
miscommunicationRate,0.025,1,0.23719900000000002,0.11986665
miscommunicationRate,0.025,2,0.2328037,0.07408055000000001
miscommunicationRate,0.025,3,0.14755824999999997,0.08727120000000002
miscommunicationRate,0.025,4,0.053990300000000005,0.13412095
miscommunicationRate,0.026000000000000002,0,0.10242029999999999,0.13648695
miscommunicationRate,0.026000000000000002,1,0.9568136500000002,0.1116438
miscommunicationRate,0.026000000000000002,2,0.20489164999999998,0.07750355
miscommunicationRate,0.026000000000000002,3,0.14259140000000003,0.052882149999999996
miscommunicationRate,0.026000000000000002,4,0.8063360999999999,0.2312801
miscommunicationRate,0.027,0,0.112876,0.0332356
miscommunicationRate,0.027,1,0.17470875,0.05837460000000001
miscommunicationRate,0.027,2,0.1275918,0.12808290000000006
miscommunicationRate,0.027,3,0.0704584,0.07826445
miscommunicationRate,0.027,4,0.05829015,0.14109705
miscommunicationRate,0.028,0,0.2144555,0.025750600000000002
miscommunicationRate,0.028,1,0.07732615000000001,0.3038459
miscommunicationRate,0.028,2,0.039194599999999996,0.01773765
miscommunicationRate,0.028,3,0.0842613,0.12319565000000002
miscommunicationRate,0.028,4,0.3921074,0.11209070000000003
miscommunicationRate,0.029,0,0.23805364999999998,0.03503635000000001
miscommunicationRate,0.029,1,0.9833508500000002,0.09537555
miscommunicationRate,0.029,2,0.036018,0.039691899999999995
miscommunicationRate,0.029,3,0.23050480000000007,0.07928815
miscommunicationRate,0.029,4,0.95328205,0.0492225
miscommunicationRate,0.03,0,0.052387800000000005,0.07772785
miscommunicationRate,0.03,1,0.08395325,0.036731599999999996
miscommunicationRate,0.03,2,0.18978505,0.021254799999999997
miscommunicationRate,0.03,3,0.06229110000000001,0.18114709999999998
miscommunicationRate,0.03,4,0.564703,0.2481188
miscommunicationRate,0.031,0,0.02895275,0.16429004999999997
miscommunicationRate,0.031,1,0.9312180499999998,0.06575865
miscommunicationRate,0.031,2,0.13107855000000002,0.0928082
miscommunicationRate,0.031,3,0.33721034999999994,0.17005735
miscommunicationRate,0.031,4,0.07561495000000001,0.07158915
miscommunicationRate,0.032,0,0.0430069,0.01275905
miscommunicationRate,0.032,1,0.06486765000000001,0.19522165
miscommunicationRate,0.032,2,0.33586865000000005,0.09142145
miscommunicationRate,0.032,3,0.06962170000000001,0.056782700000000005
miscommunicationRate,0.032,4,0.036552799999999996,0.10002355
miscommunicationRate,0.033,0,0.3825745,0.0375641
miscommunicationRate,0.033,1,0.022799850000000003,0.14218495
miscommunicationRate,0.033,2,0.33584015,0.0480768
miscommunicationRate,0.033,3,0.29116975,0.036428749999999996
miscommunicationRate,0.033,4,0.3510971,0.02788525
miscommunicationRate,0.034,0,0.22627429999999998,0.05359510000000001
miscommunicationRate,0.034,1,0.32675204999999996,0.07419139999999999
